2011-10-22 16:41:03 Notice: Notice (8): Undefined variable: nombre in [/opt/lampp/htdocs/cakephp/test/controllers/map_controller.php, line 22]
2011-10-22 16:41:22 Notice: Notice (8): Undefined variable: nombre in [/opt/lampp/htdocs/cakephp/test/controllers/map_controller.php, line 22]
2011-10-28 20:02:03 Notice: Notice (8): Undefined variable: post in [/opt/lampp/htdocs/test/views/usuarios/index.ctp, line 15]
2011-10-28 20:02:14 Notice: Notice (8): Undefined variable: nombre in [/opt/lampp/htdocs/test/controllers/usuarios_controller.php, line 28]
2011-10-28 20:04:24 Notice: Notice (8): Undefined property: HtmlHelper::$link in [/opt/lampp/htdocs/test/views/usuarios/index.ctp, line 15]
2011-10-28 20:04:24 Notice: Notice (8): Undefined variable: post in [/opt/lampp/htdocs/test/views/usuarios/index.ctp, line 15]
2011-10-28 20:05:11 Notice: Notice (8): Undefined variable: post in [/opt/lampp/htdocs/test/views/usuarios/index.ctp, line 15]
2011-10-28 20:08:11 Notice: Notice (8): Undefined variable: post in [/opt/lampp/htdocs/test/views/usuarios/index.ctp, line 15]
2011-10-28 20:08:16 Notice: Notice (8): Undefined variable: nombre in [/opt/lampp/htdocs/test/controllers/usuarios_controller.php, line 28]
2011-10-28 20:13:53 Notice: Notice (8): Undefined variable: id in [/opt/lampp/htdocs/test/controllers/usuarios_controller.php, line 28]
2011-10-28 20:13:57 Notice: Notice (8): Undefined variable: id in [/opt/lampp/htdocs/test/controllers/usuarios_controller.php, line 28]
2011-10-28 20:14:20 Notice: Notice (8): Undefined variable: id in [/opt/lampp/htdocs/test/controllers/usuarios_controller.php, line 28]
2011-10-28 20:23:49 Notice: Notice (8): Undefined variable: usuario in [/opt/lampp/htdocs/test/views/usuarios/editar.ctp, line 4]
2011-10-28 20:23:50 Notice: Notice (8): Undefined variable: usuario in [/opt/lampp/htdocs/test/views/usuarios/editar.ctp, line 5]
